学校名,所在地,,种类,荣誉,首页网址,,,,数据来源：http://www.gaokaopai.com/daxue.html
抚顺师范高等专科学校,辽宁,抚顺,师范类,,http://gaokao.cnks.net/college/college/1121/,,,,
铁岭师范高等专科学校,辽宁,铁岭,师范类,,http://www.tlsz.com.cn/,,,,
和田师范专科学校,新疆,和田,师范类,,http://www.htszedu.cn/,,,,
北京青年政治学院,北京,北京,语言类,,http://www.bjypc.edu.cn/,,,,
汕头职业技术学院,广东,汕头,综合类,,http://www.stpt.edu.cn,,,,
清远职业技术学院,广东,清远,综合类,,http://www.qypt.com.cn/,,,,
广西职业技术学院,广西,南宁,农林类,,http://www.gxzjy.com/,,,,
南宁职业技术学院,广西,南宁,综合类,,http://www.ncvt.net/,,,,
广西建设职业技术学院,广西,南宁,理工类,,http://www.gxjsxy.cn/,,,,
黄河水利职业技术学院,河南,开封,理工类,,http://www.yrcti.edu.cn/,,,,
郑州铁路职业技术学院,河南,郑州,理工类,,http://www.zzrvtc.edu.cn/,,,,
商丘职业技术学院,河南,商丘,财经类,,http://www.sqzy.com.cn/,,,,
河南工业职业技术学院,河南,南阳,理工类,,http://www.hnpi.cn/,,,,
武汉职业技术学院,湖北,武汉,理工类,,http://www.wtc.edu.cn/,,,,
武汉船舶职业技术学院,湖北,武汉,理工类,,http://www.wspc.edu.cn/index.jsp,,,,
恩施职业技术学院,湖北,恩施,理工类,,http://www.eszy.edu.cn/,,,,
仙桃职业学院,湖北,仙桃,理工类,,http://www.hbxtzy.com/,,,,
荆州职业技术学院,湖北,荆州,理工类,,http://www.jzit.net.cn/,,,,
武汉航海职业技术学院,湖北,武汉,综合类,,http://www.whhhxy.com/,,,,
永州职业技术学院,湖南,永州,综合类,,http://www.hnyzzy.com/,,,,
湘潭职业技术学院,湖南,湘潭,综合类,,http://www.xtzy.com/,,,,
湖南商务职业技术学院,湖南,长沙,财经类,,http://www.hnswxy.com/,,,,
郴州职业技术学院,湖南,郴州,综合类,,http://www.czzy-edu.com/,,,,
九江职业技术学院,江西,九江,综合类,,http://www.jvtc.jx.cn/,,,,
江西司法警官职业学院,江西,南昌,政法类,,http://www.jxsfjy.cn/,,,,
江西环境工程职业学院,江西,赣州,林业类,,http://www.jxhjxy.com/,,,,
江西交通职业技术学院,江西,南昌,理工类,,http://www.jxjtxy.com,,,,
江西艺术职业学院,江西,南昌,艺术类,,http://www.jxysedu.com/,,,,
江西应用技术职业学院,江西,赣州,理工类,,http://www.jxyyxy.com/xy/,,,,
江西现代职业技术学院,江西,南昌,理工类,,http://www.jxxdxy.com/,,,,
日照职业技术学院,山东,日照,综合类,,http://www.rzpt.cn/,,,,
曲阜远东职业技术学院,山东,曲阜,综合类,,http://www.fareast-edu.net/,,,,
滨州职业学院,山东,滨州,综合类,,http://www.bzpt.edu.cn,,,,
威海职业学院,山东,威海,综合类,,http://www.weihaicollege.com,,,,
东营职业学院,山东,东营,综合类,,http://www.dyxy.net/,,,,
山东服装职业学院,山东,泰安,综合类,,http://www.sdfzxy.com/,,,,
山东畜牧兽医职业学院,山东,潍坊,农林类,,http://www.sdmyxy.cn/,,,,
山东交通职业学院,山东,潍坊,理工类,,http://www.sdjtzyxy.com/,,,,
河南职业技术学院,河南,郑州,理工类,,http://www.hnzj.edu.cn/,,,,
台州职业技术学院,浙江,台州,综合类,,http://www.tzvtc.com/,,,,
浙江工业职业技术学院,浙江,绍兴,综合类,,http://www.zjipc.com/index.asp,,,,
浙江金融职业学院,浙江,杭州,财经类,,http://www.zfc.edu.cn/,,,,
嘉兴职业技术学院,浙江,嘉兴,综合类,,http://www.jxvtc.net/,,,,
丽水职业技术学院,浙江,丽水,综合类,,http://www.lszjy.com/,,,,
芜湖职业技术学院,安徽,芜湖,理工类,,http://www.whptu.ah.cn/site/default/,,,,
安徽交通职业技术学院,安徽,合肥,理工类,,http://www.ahctc.com/,,,,
福州英华职业学院,福建,福州,语言类,,http://www.fzacc.com/,,,,
民办明达职业技术学院,江苏,盐城,理工类,,http://www.mdut.cn/,,,,
南通航运职业技术学院,江苏,南通,理工类,,http://www.ntsc.edu.cn/,,,,
淮安信息职业技术学院,江苏,淮安,理工类,,http://210.29.224.22/hx2010/index.html,,,,
宿迁职业技术学院,江苏,宿迁,理工类,,http://www.cjsiu.com/,,,,
南京信息职业技术学院,江苏,南京,理工类,,http://www.njcit.cn/,,,,
常州机电职业技术学院,江苏,常州,理工类,,http://www.czmec.cn/,,,,
江苏农林职业技术学院,江苏,句容,农林类,,http://www.jsafc.net/,,,,
浙江交通职业技术学院,浙江,杭州,理工类,,http://www.zjvtit.edu.cn/ksexport/1039/_index.jsp,,,,
山西机电职业技术学院,山西,长治,理工类,,http://www.sxjdxy.org/,,,,
临汾职业技术学院,山西,临汾,综合类,,http://lfvtc.sxbys.com.cn/,,,,
内蒙古警察职业学院,内蒙古,呼和浩特,政法类,,http://www.imppc.cn/,,,,
内蒙古体育职业学院,内蒙古,呼和浩特,体育类,,http://www.nmtyxy.com/index.php,,,,
包头轻工职业技术学院,内蒙古,古包头,理工类,,http://www.btqy.com.cn/,,,,
呼和浩特职业学院,内蒙古,呼和浩特,综合类,,http://www.hhvc.net.cn,,,,
山西煤炭职业技术学院,山西,太原,理工类,,http://www.sxmtxy.com.cn/,,,,
包头职业技术学院,内蒙古,古包头,理工类,,http://www.btzyjsxy.cn,,,,
大连商务职业学院,辽宁,大连,财经类,,http://www.dbiedu.com/,,,,
辽阳职业技术学院,辽宁,辽阳,综合类,,http://www.419.com.cn/,,,,
辽宁经济职业技术学院,辽宁,沈阳,财经类,,http://www.lnemci.com/,,,,
沈阳职业技术学院,辽宁,沈阳,综合类,,http://www.vtcsy.com/,,,,
吉林交通职业技术学院,吉林,长春,理工类,,http://www.jjtc.com.cn/,,,,
吉林工业职业技术学院,吉林,吉林,理工类,,http://www.jvcit.edu.cn/,,,,
福建警官职业学院,福建,福州,政法类,,http://www.fjjgxy.com,,,,
河南信息统计职业学院,河南,郑州,综合类,,http://www.zhxtxy.cn/,,,,
山东胜利职业学院,山东,东营,理工类,,http://www.sdslvc.com,,,,
山东文化产业职业学院,山东,蓬莱,综合类,,http://www.sdcivc.com/,,,,
河南水利与环境职业学院,河南,郑州,综合类,,http://www.zzslxx.com/,,,,
河南林业职业学院,河南,洛阳,农林类,,http://www.hnfjc.cn/,,,,
河南医学高等专科学校,河南,郑州,医药类,,http://www.hamc.edu.cn/,,,,
洛阳科技职业学院,河南,洛阳,综合类,,http://www.lykjxy.cn/,,,,
广东信息工程职业学院,广东,肇庆,理工类,,http://www.xxgcxy.cn/,,,,
重庆文化艺术职业学院,重庆,重庆,艺术类,,http://www.cqyixiao.com/,,,,
重庆服装工程职业学院,重庆,重庆,综合类,,http://www.cqfzgc.com/index.asp,,,,
嘉兴南洋职业技术学院,浙江,嘉兴,综合类,,http://www.jxnyc.net/,,,,
江西经济管理干部学院,江西,南昌,综合类,,http://www.jiea.cn/,,,,
南京科技职业学院,江苏,南京,理工类,,http://www.njcc.edu.cn/,,,,
南通科技职业学院,江苏,南通,农林类,,http://www.ntac.edu.cn/,,,,
重庆艺术工程职业学院,重庆,重庆,艺术类,,http://www.cqysxy.com/,,,,
重庆航天职业技术学院,重庆,重庆,理工类,,http://www.cqepc.cn/index/,,,,
黔西南民族职业技术学院,贵州,兴义,综合类,,http://www.qxnzy.net/,,,,
黔东南民族职业技术学院,贵州,凯里,综合类,,http://www.qdnpt.com/,,,,
黑龙江艺术职业学院,黑龙江,哈尔滨,艺术类,,http://www.hljyzy.com,,,,
黑龙江粮食职业学院,黑龙江,哈尔滨,理工类,,http://www.hljgvc.com/,,,,
黑龙江生物科技职业学院,黑龙江,哈尔滨,综合类,,http://www.swkj.net/,,,,
黑龙江煤炭职业技术学院,黑龙江,双鸭山,理工类,,http://www.hmzy.cn/,,,,
黑龙江民族职业学院,黑龙江,哈尔滨,民族类,,http://www.mvcollege.com/,,,,
黑龙江林业职业技术学院,黑龙江,牡丹江,林业类,,http://www.hljlzy.com/,,,,
黑龙江旅游职业技术学院,黑龙江,哈尔滨,财经类,,http://www.ljly.net/,,,,
黑龙江商业职业学院,黑龙江,牡丹江,财经类,,http://www.hljszy.net/,,,,
黑龙江司法警官职业学院,黑龙江,哈尔滨,政法类,,http://www.hljsfjy.com/,,,,
黑龙江农垦职业学院,黑龙江,哈尔滨,综合类,,http://www.nkzy.com/,,,,
黑龙江农垦科技职业学院,黑龙江,哈尔滨,农林类,,http://www.nkkjxy.com/,,,,
黑龙江农业职业技术学院,黑龙江,佳木斯,农林类,,http://www.hljnzy.net/,,,,
黑龙江农业经济职业学院,黑龙江,牡丹江,农林类,,http://www.nyjj.net.cn/2009/main/,,,,
黑龙江农业工程职业学院,黑龙江,哈尔滨,农林类,,http://www.hngzy.com/,,,,
黑龙江公安警官职业学院,黑龙江,哈尔滨,政法类,,http://www.hlpolice.com/,,,,
黑龙江信息技术职业学院,黑龙江,哈尔滨,理工类,,http://www.hljitpc.com/,,,,
黑龙江交通职业技术学院,黑龙江,齐齐哈尔,理工类,,http://www.hlcp.com.cn/,,,,
黑龙江三江美术职业学院,黑龙江,佳木斯,艺术类,,http://www.sjmsxy.net.cn/,,,,
黎明职业大学,福建,泉州,综合类,,http://www.lmu.edu.cn/,,,,
黄山职业技术学院,安徽,黄山,理工类,,http://www.hszyxy.com/,,,,
黄冈职业技术学院,湖北,黄冈,理工类,,http://www.hgpu.edu.cn/,,,,
黄冈科技职业学院,湖北,黄冈,理工类,,http://www.hbhgkj.com/,,,,
鹰潭职业技术学院,江西,鹰潭,综合类,,http://www.jxytxy.com.cn/,,,,
鹤岗师范高等专科学校,黑龙江,鹤岗,师范类,,http://www.hgtc.org.cn/,,,,
鹤壁职业技术学院,河南,鹤壁,理工类,,http://w3.hbzy.edu.cn/,,,,
鹤壁汽车工程职业学院,河南,鹤壁,理工类,,http://www.hbqcxy.com/,,,,
驻马店职业技术学院,河南,驻马店,理工类,,http://www.zmdvtc.cn/,,,,
马鞍山职业技术学院,安徽,马鞍山,理工类,,http://www.mastc.edu.cn/,,,,
马鞍山师范高等专科学校,安徽,马鞍山,师范类,,http://www.massz.cn/,,,,
顺德职业技术学院,广东,佛山,综合类,,http://www.sdpt.com.cn/,,,,
青海警官职业学院,青海,西宁,政法类,,http://www.qhjyedu.com/structure/,,,,
青海建筑职业技术学院,青海,西宁,理工类,,http://www.qhnews.com/bdt/jt/jzxy/,,,,
青海卫生职业技术学院,青海,西宁,医药类,,http://www.qhwszy.edu.cn/,,,,
青海交通职业技术学院,青海,西宁,理工类,,http://www.qhctc.edu.cn/,,,,
青岛飞洋职业技术学院,山东,青岛,综合类,,http://www.feiyangcollege.com/,,,,
青岛远洋船员职业学院,山东,青岛,理工类,,http://www.coscoqmc.com.cn/,,,,
青岛职业技术学院,山东,青岛,综合类,,http://www.qtc.edu.cn/,,,,
青岛港湾职业技术学院,山东,青岛,理工类,,http://www.qdgw.com/,,,,
青岛求实职业技术学院,山东,青岛,综合类,,http://www.qdqs.com/,,,,
雅安职业技术学院,四川,雅安,综合类,,http://www.yazjy.com/,,,,
随州职业技术学院,湖北,随州,理工类,,http://www.szvtc.cn/,,,,
陕西青年职业学院,陕西,西安,财经类,,http://www.sxqzy.com/,,,,
陕西邮电职业技术学院,陕西,咸阳,理工类,,http://www.sptc.sn.cn/,,,,
陕西警官职业学院,陕西,西安,政法类,,http://www.sxjgxy.edu.cn/www/index.asp,,,,
陕西航空职业技术学院,陕西,汉中,理工类,,http://www.sxhkxy.com/,,,,
陕西能源职业技术学院,陕西,咸阳,理工类,,http://www.sxny.cn/,,,,
陕西职业技术学院,陕西,西安,财经类,,http://www.spvec.com.cn/,,,,
陕西工运学院,陕西,西安,理工类,,http://www.sxgyxy.com/,,,,
阿拉善职业技术学院,内蒙古,古阿拉善盟,理工类,,http://61.138.121.1/index.html,,,,
阳江职业技术学院,广东,阳江,综合类,,http://www.yjcollege.net/,,,,
阜阳职业技术学院,安徽,阜阳,理工类,,http://www.fyzy.net/,,,,
阜阳科技职业学院,安徽,阜阳,理工类,,http://www.fky.net.cn/,,,,
黑龙江生态工程职业学院,黑龙江,哈尔滨,林业类,,http://www.hfmc.net/,,,,
黑龙江职业学院,黑龙江,哈尔滨,综合类,,http://www.hljp.edu.cn/,,,,
闽西职业技术学院,福建,龙岩,综合类,,http://www.mxdx.net/,,,,
闽北职业技术学院,福建,建阳,综合类,,http://www.mbu.cn/,,,,
长白山职业技术学院,吉林,白山,理工类,,http://www.cbsvtc.com.cn/,,,,
长治职业技术学院,山西,长治,理工类,,http://www.czzy.cn/czzy/index.asp,,,,
长沙航空职业技术学院,湖南,长沙田心桥,理工类,,http://www.cavtc.cn/,,,,
长沙电力职业技术学院,湖南,长沙,理工类,,http://www.cseptc.hn.sgcc.com.cn/templet/default/,,,,
长沙民政职业技术学院,湖南,长沙,语言类,,http://www.csmzxy.com/,,,,
长沙卫生职业学院,湖南,长沙,医药类,,http://www.hncswx.com/,,,,
长沙南方职业学院,湖南,长沙,综合类,,http://www.nfdx.net/,,,,
长江职业学院,湖北,武汉,理工类,,http://www.cjxy.edu.cn/,,,,
长江工程职业技术学院,湖北,武汉,理工类,,http://www.cj-edu.com.cn/,,,,
长春金融高等专科学校,吉林,长春,财经类,,http://www.cjgz.edu.cn/,,,,
长春信息技术职业学院,吉林,长春,理工类,,http://6318.cn/org/default-4829.htm,,,,
长春东方职业学院,吉林,长春,综合类,,http://www.dfzyxy.edu.cn/,,,,
长垣烹饪职业技术学院,河南,新乡,理工类,,http://www.cyprxy.com/,,,,
镇江高等专科学校,江苏,镇江,理工类,,http://www.zjc.edu.cn/,,,,
锦州师范高等专科学校,辽宁,锦州,师范类,,http://www.jzsz.com.cn/,,,,
铜陵职业技术学院,安徽,铜陵,理工类,,http://www.tlpt.net.cn/main/index.asp,,,,
铜川职业技术学院,陕西,铜川,师范类,,http://www.tczyxy.net/,,,,
铜仁职业技术学院,贵州,铜仁,综合类,,http://www.trzy.cn/,,,,
铁岭卫生职业学院,辽宁,铁岭,医药类,,http://www.lntlhc.com/,,,,
钟山职业技术学院,江苏,南京,理工类,,http://www.zscollege.com/index.asp,,,,
金肯职业技术学院,江苏,南京,理工类,,http://www.jseea.cn/schoolinformation/jinkenxueyuan.html,,,,
金山职业技术学院,江苏,镇江,理工类,,http://www.jinshan-cn.com/,,,,
金华职业技术学院,浙江,金华,综合类,,http://www.jhc.cn/index.asp,,,,
重庆轻工职业学院,重庆,重庆,理工类,,http://www.cqivc.com/,,,,
重庆能源职业学院,重庆,重庆,理工类,,http://www.cqny.net/,,,,
重庆经贸职业学院,重庆,重庆,财经类,,http://cqvcet.com/,,,,
重庆科创职业学院,重庆,重庆,综合类,,http://www.cqie.cn,,,,
重庆电讯职业学院,重庆,重庆,综合类,,http://bmw021187.chinaw3.com/Default.asp,,,,
重庆电力高等专科学校,重庆,重庆,理工类,,http://www.cqepc.com.cn/,,,,
重庆电信职业学院,重庆,重庆,理工类,,http://www.cqtcedu.com/Index.html,,,,
重庆海联职业技术学院,重庆,重庆,综合类,,http://www.cqhl.net.cn/,,,,
重庆应用技术职业学院,重庆,重庆,财经类,,http://www.cqms.edu.cn/,,,,
重庆机电职业技术学院,重庆,重庆,理工类,,http://www.cqevi.net.cn/,,,,
重庆房地产职业学院,重庆,重庆,综合类,,http://cqbyxy.com/,,,,
重庆工程职业技术学院,重庆,重庆,理工类,,http://www.cqvie.edu.cn/,,,,
重庆工业职业技术学院,重庆,重庆,理工类,,http://www.cqipc.net/,,,,
重庆城市职业学院,重庆,重庆,综合类,,http://www.cqcvc.com.cn/,,,,
重庆城市管理职业学院,重庆,重庆,综合类,,http://www.cswu.cn/,,,,
重庆商务职业学院,重庆,重庆,财经类,,http://www.cqswxy.cn/index.php,,,,
重庆化工职业学院,重庆,重庆,理工类,,http://www.cqhgzy.com/,,,,
